# sizeof probe, x86_64, limit 65507 B (tt_MAX_BUFFER_LENGTH)
example_interfaces/msg/WString	-	NOT_GENERATED	UnsupportedFieldError: field 'data': wstring is out of scope
geometry_msgs/msg/TwistWithCovariance	336	CREATE_OK	max_wire_size 336
geometry_msgs/msg/TwistWithCovarianceStamped	352	CREATE_OK	max_wire_size 348
geometry_msgs/msg/Vector3	24	CREATE_OK	max_wire_size 24
geometry_msgs/msg/Vector3Stamped	40	CREATE_OK	max_wire_size 36
geometry_msgs/msg/VelocityStamped	80	CREATE_OK	max_wire_size 64
geometry_msgs/msg/VelocityWithCovarianceStamped	368	CREATE_OK	max_wire_size 352
geometry_msgs/msg/Wrench	48	CREATE_OK	max_wire_size 48
geometry_msgs/msg/WrenchStamped	64	CREATE_OK	max_wire_size 60
lifecycle_msgs/msg/State	12	CREATE_OK	max_wire_size 4
lifecycle_msgs/msg/Transition	12	CREATE_OK	max_wire_size 4
lifecycle_msgs/msg/TransitionDescription	36	CREATE_OK	max_wire_size 12
lifecycle_msgs/msg/TransitionEvent	44	CREATE_OK	max_wire_size 20
lifecycle_msgs/srv/ChangeState_Request	12	CREATE_OK	max_wire_size 4
lifecycle_msgs/srv/ChangeState_Response	1	CREATE_OK	max_wire_size 1
lifecycle_msgs/srv/GetAvailableStates_Request	1	CREATE_OK	max_wire_size 0
lifecycle_msgs/srv/GetAvailableStates_Response	196	CREATE_OK	max_wire_size 66
lifecycle_msgs/srv/GetAvailableTransitions_Request	1	CREATE_OK	max_wire_size 0
lifecycle_msgs/srv/GetAvailableTransitions_Response	580	CREATE_OK	max_wire_size 194
lifecycle_msgs/srv/GetState_Request	1	CREATE_OK	max_wire_size 0
lifecycle_msgs/srv/GetState_Response	12	CREATE_OK	max_wire_size 4
nav_msgs/msg/Goals	4628	CREATE_OK	max_wire_size 4364
nav_msgs/msg/GridCells	1372	CREATE_OK	max_wire_size 1368
nav_msgs/msg/MapMetaData	76	CREATE_OK	max_wire_size 76
nav_msgs/msg/OccupancyGrid	64096	CREATE_OK	max_wire_size 64090
nav_msgs/msg/Odometry	704	CREATE_OK	max_wire_size 692
nav_msgs/msg/Path	36884	CREATE_OK	max_wire_size 34828
nav_msgs/msg/Trajectory	27668	CREATE_OK	max_wire_size 27148
nav_msgs/msg/TrajectoryPoint	216	CREATE_OK	max_wire_size 212
nav_msgs/srv/GetMap_Request	1	CREATE_OK	max_wire_size 0
nav_msgs/srv/GetMap_Response	64096	CREATE_OK	max_wire_size 64090
nav_msgs/srv/GetPlan_Request	148	CREATE_OK	max_wire_size 140
nav_msgs/srv/GetPlan_Response	36884	CREATE_OK	max_wire_size 34828
nav_msgs/srv/LoadMap_Request	8	CREATE_OK	max_wire_size 2
nav_msgs/srv/LoadMap_Response	64100	CREATE_OK	max_wire_size 64091
nav_msgs/srv/SetMap_Request	64456	CREATE_OK	max_wire_size 64448
nav_msgs/srv/SetMap_Response	1	CREATE_OK	max_wire_size 1
rcl_interfaces/msg/FloatingPointRange	24	CREATE_OK	max_wire_size 24
rcl_interfaces/msg/IntegerRange	24	CREATE_OK	max_wire_size 24
rcl_interfaces/msg/ListParametersResult	136	CREATE_OK	max_wire_size 36
rcl_interfaces/msg/Log	48	CREATE_OK	max_wire_size 24
rcl_interfaces/msg/LoggerLevel	12	CREATE_OK	max_wire_size 8
rcl_interfaces/msg/Parameter	80	CREATE_OK	max_wire_size 60
rcl_interfaces/msg/ParameterDescriptor	84	CREATE_OK	max_wire_size 64
rcl_interfaces/msg/ParameterEvent	268	CREATE_OK	max_wire_size 200
rcl_interfaces/msg/ParameterEventDescriptors	1020	CREATE_OK	max_wire_size 774
rcl_interfaces/msg/ParameterType	1	CREATE_OK	max_wire_size 0
rcl_interfaces/msg/ParameterValue	72	CREATE_OK	max_wire_size 56
rcl_interfaces/msg/SetLoggerLevelsResult	12	CREATE_OK	max_wire_size 4
rcl_interfaces/msg/SetParametersResult	12	CREATE_OK	max_wire_size 4
rcl_interfaces/srv/DescribeParameters_Request	68	CREATE_OK	max_wire_size 18
rcl_interfaces/srv/DescribeParameters_Response	676	CREATE_OK	max_wire_size 514
rcl_interfaces/srv/GetLoggerLevels_Request	68	CREATE_OK	max_wire_size 18
rcl_interfaces/srv/GetLoggerLevels_Response	100	CREATE_OK	max_wire_size 68
rcl_interfaces/srv/GetParameterTypes_Request	68	CREATE_OK	max_wire_size 18
rcl_interfaces/srv/GetParameterTypes_Response	10	CREATE_OK	max_wire_size 10
rcl_interfaces/srv/GetParameters_Request	68	CREATE_OK	max_wire_size 18
rcl_interfaces/srv/GetParameters_Response	580	CREATE_OK	max_wire_size 452
rcl_interfaces/srv/ListParameters_Request	76	CREATE_OK	max_wire_size 28
