=== rmw cross-host RTT, 2026-09-26T16:31:46+09:00, SHA 4342a5d05cf1a85d1f01d4ae308cb8c4dd94c4b8, 3 reps, msgs: bench array1k, spin arms: off, trace: 0 ===
--- SKIP_BUILD: both rpis already at 4342a5d05cf1a85d1f01d4ae308cb8c4dd94c4b8 with binaries ---
rmw_cyclonedds_cpp bench reliable rep2 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.384 rtt_avg_ms=0.435 rtt_max_ms=0.925 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14976  pong_cpu_s=0.04 pong_maxrss_kb=14552
rmw_tickle array1k best_effort rep2 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.483 rtt_avg_ms=0.517 rtt_max_ms=0.916 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_cpu_s=0.02 pong_maxrss_kb=11700
rmw_fastrtps_cpp array1k best_effort rep2 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.444 rtt_avg_ms=0.502 rtt_max_ms=0.820 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=24124  pong_cpu_s=0.04 pong_maxrss_kb=23732
rmw_cyclonedds_cpp array1k best_effort rep2 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.407 rtt_avg_ms=0.443 rtt_max_ms=0.683 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14976  pong_cpu_s=0.03 pong_maxrss_kb=14532
rmw_tickle array1k reliable rep2 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.466 rtt_avg_ms=0.508 rtt_max_ms=0.739 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_cpu_s=0.03 pong_maxrss_kb=11720
rmw_fastrtps_cpp array1k reliable rep2 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.458 rtt_avg_ms=0.522 rtt_max_ms=0.794 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=24012  pong_cpu_s=0.05 pong_maxrss_kb=23728
rmw_cyclonedds_cpp array1k reliable rep2 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.355 rtt_avg_ms=0.440 rtt_max_ms=1.119 ping_utime_s=0.02 ping_stime_s=0.03 ping_maxrss_kb=14848  pong_cpu_s=0.04 pong_maxrss_kb=14556
rmw_tickle bench best_effort rep3 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.469 rtt_avg_ms=0.514 rtt_max_ms=0.757 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_cpu_s=0.02 pong_maxrss_kb=11696
rmw_fastrtps_cpp bench best_effort rep3 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.413 rtt_avg_ms=0.476 rtt_max_ms=0.747 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23952  pong_cpu_s=0.05 pong_maxrss_kb=23620
rmw_cyclonedds_cpp bench best_effort rep3 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.372 rtt_avg_ms=0.430 rtt_max_ms=0.689 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14720  pong_cpu_s=0.04 pong_maxrss_kb=14536
rmw_tickle bench reliable rep3 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.462 rtt_avg_ms=0.508 rtt_max_ms=0.819 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_cpu_s=0.03 pong_maxrss_kb=11724
rmw_fastrtps_cpp bench reliable rep3 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.435 rtt_avg_ms=0.490 rtt_max_ms=0.777 ping_utime_s=0.04 ping_stime_s=0.03 ping_maxrss_kb=23872  pong_cpu_s=0.05 pong_maxrss_kb=23636
rmw_cyclonedds_cpp bench reliable rep3 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.378 rtt_avg_ms=0.429 rtt_max_ms=0.919 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14840  pong_cpu_s=0.04 pong_maxrss_kb=14516
rmw_tickle array1k best_effort rep3 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.460 rtt_avg_ms=0.509 rtt_max_ms=0.823 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_cpu_s=0.03 pong_maxrss_kb=11700
rmw_fastrtps_cpp array1k best_effort rep3 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.444 rtt_avg_ms=0.502 rtt_max_ms=0.796 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=24080  pong_cpu_s=0.04 pong_maxrss_kb=23728
rmw_cyclonedds_cpp array1k best_effort rep3 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.414 rtt_avg_ms=0.449 rtt_max_ms=0.716 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=14976  pong_cpu_s=0.03 pong_maxrss_kb=14540
rmw_tickle array1k reliable rep3 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.456 rtt_avg_ms=0.508 rtt_max_ms=0.904 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_cpu_s=0.02 pong_maxrss_kb=11720
rmw_fastrtps_cpp array1k reliable rep3 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.446 rtt_avg_ms=0.514 rtt_max_ms=0.810 ping_utime_s=0.04 ping_stime_s=0.02 ping_maxrss_kb=24044  pong_cpu_s=0.05 pong_maxrss_kb=23736
rmw_cyclonedds_cpp array1k reliable rep3 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.404 rtt_avg_ms=0.444 rtt_max_ms=1.139 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14848  pong_cpu_s=0.04 pong_maxrss_kb=14536

=== done ===
