=== rmw cross-host RTT, 2026-09-26T19:58:49+09:00, SHA 75e39a61b61288f100526d84051d44b5bf96d61d, 3 reps, msgs: bench array1k, spin arms: off, trace: 0, waits: poll block, sysstamp arms: off ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at 75e39a61b61288f100526d84051d44b5bf96d61d on both rpis ---
built on tickle-testbed-rpi-0 at 75e39a61
built on tickle-testbed-rpi-1 at 75e39a61
rmw_cyclonedds_cpp bench reliable rep1 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.243 rtt_avg_ms=0.269 rtt_max_ms=0.853 LOOP: iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14976  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=48557838 pong_maxrss_kb=14552
rmw_tickle array1k best_effort rep1 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.462 rtt_avg_ms=0.513 rtt_max_ms=0.865 LOOP: iterations_per_rtt=3.05 spin_some_us=6.3 sleep_us=156.3 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35299154 pong_maxrss_kb=11764
rmw_fastrtps_cpp array1k best_effort rep1 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.449 rtt_avg_ms=0.504 rtt_max_ms=0.816 LOOP: iterations_per_rtt=2.05 spin_some_us=68.1 sleep_us=159.4 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23960  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=56925997 pong_maxrss_kb=23728
rmw_cyclonedds_cpp array1k best_effort rep1 wait=poll | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.417 rtt_avg_ms=0.449 rtt_max_ms=0.689 LOOP: iterations_per_rtt=2.02 spin_some_us=54.4 sleep_us=155.2 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=43972771 pong_maxrss_kb=14536
rmw_tickle array1k best_effort rep1 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.252 rtt_avg_ms=0.272 rtt_max_ms=0.587 LOOP: iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=33879089 pong_maxrss_kb=11764
rmw_fastrtps_cpp array1k best_effort rep1 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.318 rtt_avg_ms=0.337 rtt_max_ms=0.641 LOOP: iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.02 ping_maxrss_kb=24120  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=56967082 pong_maxrss_kb=23728
rmw_cyclonedds_cpp array1k best_effort rep1 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.264 rtt_avg_ms=0.289 rtt_max_ms=0.358 LOOP: iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=42884810 pong_maxrss_kb=14540
rmw_tickle array1k reliable rep1 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.461 rtt_avg_ms=0.510 rtt_max_ms=0.887 LOOP: iterations_per_rtt=3.02 spin_some_us=6.2 sleep_us=156.6 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35106682 pong_maxrss_kb=11784
rmw_fastrtps_cpp array1k reliable rep1 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.457 rtt_avg_ms=0.516 rtt_max_ms=0.766 LOOP: iterations_per_rtt=2.07 spin_some_us=69.5 sleep_us=158.3 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=24052  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=60388377 pong_maxrss_kb=23736
rmw_cyclonedds_cpp array1k reliable rep1 wait=poll | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.392 rtt_avg_ms=0.436 rtt_max_ms=1.107 LOOP: iterations_per_rtt=2.03 spin_some_us=43.8 sleep_us=156.4 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14976  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=47467451 pong_maxrss_kb=14532
