=== rmw cross-host RTT, 2026-09-26T21:17:41+09:00, SHA 099374d2c3fbdefcc83b9576fb61a4dcbcca4c50, 3 reps, msgs: bench array1k, spin arms: off, trace: 0, waits: poll, poll sleeps: 0 50 100 200, sysstamp arms: off ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at 099374d2c3fbdefcc83b9576fb61a4dcbcca4c50 on both rpis ---
built on tickle-testbed-rpi-0 at 099374d2
built on tickle-testbed-rpi-1 at 099374d2
rmw_cyclonedds_cpp bench best_effort rep1 poll_sleep_us=200 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.573 rtt_avg_ms=0.617 rtt_max_ms=0.654 LOOP: poll_sleep_us=200 iterations_per_rtt=2.00 spin_some_us=39.3 sleep_us=256.3 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=41795602 pong_maxrss_kb=14524
rmw_tickle bench reliable rep1 poll_sleep_us=0 | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.223 rtt_avg_ms=0.245 rtt_max_ms=0.585 LOOP: poll_sleep_us=0 iterations_per_rtt=100.89 spin_some_us=2.0 sleep_us=0.1 ping_utime_s=0.03 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34680043 pong_maxrss_kb=11748
rmw_fastrtps_cpp bench reliable rep1 poll_sleep_us=0 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.291 rtt_avg_ms=0.326 rtt_max_ms=0.636 LOOP: poll_sleep_us=0 iterations_per_rtt=4.05 spin_some_us=69.2 sleep_us=0.1 ping_utime_s=0.04 ping_stime_s=0.03 ping_maxrss_kb=23880  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=59274336 pong_maxrss_kb=23628
rmw_cyclonedds_cpp bench reliable rep1 poll_sleep_us=0 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.251 rtt_avg_ms=0.270 rtt_max_ms=0.824 LOOP: poll_sleep_us=0 iterations_per_rtt=4.12 spin_some_us=57.6 sleep_us=0.1 ping_utime_s=0.02 ping_stime_s=0.03 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=47396669 pong_maxrss_kb=14544
rmw_tickle bench reliable rep1 poll_sleep_us=50 | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.337 rtt_avg_ms=0.379 rtt_max_ms=0.743 LOOP: poll_sleep_us=50 iterations_per_rtt=3.25 spin_some_us=5.4 sleep_us=105.8 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=34630584 pong_maxrss_kb=11740
rmw_fastrtps_cpp bench reliable rep1 poll_sleep_us=50 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.370 rtt_avg_ms=0.511 rtt_max_ms=0.871 LOOP: poll_sleep_us=50 iterations_per_rtt=2.70 spin_some_us=64.8 sleep_us=107.8 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23768  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=62361107 pong_maxrss_kb=23620
rmw_cyclonedds_cpp bench reliable rep1 poll_sleep_us=50 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.349 rtt_avg_ms=0.390 rtt_max_ms=0.910 LOOP: poll_sleep_us=50 iterations_per_rtt=2.16 spin_some_us=60.1 sleep_us=105.9 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=46719214 pong_maxrss_kb=14536
rmw_tickle bench reliable rep1 poll_sleep_us=100 | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.467 rtt_avg_ms=0.507 rtt_max_ms=0.899 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=6.1 sleep_us=156.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=35935592 pong_maxrss_kb=11748
rmw_fastrtps_cpp bench reliable rep1 poll_sleep_us=100 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.438 rtt_avg_ms=0.487 rtt_max_ms=0.773 LOOP: poll_sleep_us=100 iterations_per_rtt=2.02 spin_some_us=62.7 sleep_us=157.1 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23752  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=59703929 pong_maxrss_kb=23636
rmw_cyclonedds_cpp bench reliable rep1 poll_sleep_us=100 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.401 rtt_avg_ms=0.439 rtt_max_ms=1.331 LOOP: poll_sleep_us=100 iterations_per_rtt=2.04 spin_some_us=42.9 sleep_us=156.3 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14976  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=48490222 pong_maxrss_kb=14552
