=== COMPARISON.MD native re-sweep, 2026-09-24T22:54:39+09:00, 3 reps, main 659013e9cf85beb646e625f35693eae0c37e431b ===
--- deploying 659013e9cf85beb646e625f35693eae0c37e431b and building every scenario for all three frameworks on both rpis ---
659013e9cf85beb646e625f35693eae0c37e431b client / 659013e9cf85beb646e625f35693eae0c37e431b server

=== A: section 3 scenarios ===
A best_effort_throughput rep3 tickle | leftover_before=none | RESULT: framework=tickle scenario=best_effort_throughput role=client sent=1552342 elapsed_s=8.000 send_mbps=117.978 RESULT: framework=tickle scenario=best_effort_throughput role=server recv=1552333 lost=9 loss_pct=0.0 
A best_effort_throughput rep3 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=best_effort_throughput role=client sent=899323 elapsed_s=8.000 send_mbps=71.946 RESULT: framework=cyclonedds scenario=best_effort_throughput role=server recv=897284 lost=2038 loss_pct=0.2 elapsed_s=8.000 recv_mbps=71.783 
A best_effort_throughput rep3 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=best_effort_throughput role=client sent=599894 elapsed_s=8.000 send_mbps=47.991 RESULT: framework=fastdds scenario=best_effort_throughput role=server recv=461582 lost=138311 loss_pct=23.1 elapsed_s=8.000 recv_mbps=36.928 
A deadline_miss_detection rep1 tickle | leftover_before=none | RESULT: framework=tickle scenario=deadline_miss_detection role=client sent=198 writer_misses=3 RESULT: framework=tickle scenario=deadline_miss_detection role=server recv=198 reader_misses=30 
A deadline_miss_detection rep1 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=deadline_miss_detection role=client sent=100 offered_missed_total=205 detect_latency_ms=-4903.672 RESULT: framework=cyclonedds scenario=deadline_miss_detection role=server recv=100 requested_missed_total=198 
A deadline_miss_detection rep1 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=deadline_miss_detection role=client sent=100 offered_missed_total=205 detect_latency_ms=-4905.534 RESULT: framework=fastdds scenario=deadline_miss_detection role=server recv=100 requested_missed_total=199 
A deadline_miss_detection rep2 tickle | leftover_before=none | RESULT: framework=tickle scenario=deadline_miss_detection role=client sent=198 writer_misses=3 RESULT: framework=tickle scenario=deadline_miss_detection role=server recv=198 reader_misses=30 
A deadline_miss_detection rep2 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=deadline_miss_detection role=client sent=100 offered_missed_total=205 detect_latency_ms=-4903.644 RESULT: framework=cyclonedds scenario=deadline_miss_detection role=server recv=100 requested_missed_total=198 
A deadline_miss_detection rep2 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=deadline_miss_detection role=client sent=100 offered_missed_total=205 detect_latency_ms=-4905.490 RESULT: framework=fastdds scenario=deadline_miss_detection role=server recv=100 requested_missed_total=203 
A deadline_miss_detection rep3 tickle | leftover_before=none | RESULT: framework=tickle scenario=deadline_miss_detection role=client sent=198 writer_misses=3 RESULT: framework=tickle scenario=deadline_miss_detection role=server recv=198 reader_misses=29 
A deadline_miss_detection rep3 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=deadline_miss_detection role=client sent=100 offered_missed_total=205 detect_latency_ms=-4903.558 RESULT: framework=cyclonedds scenario=deadline_miss_detection role=server recv=100 requested_missed_total=198 
A deadline_miss_detection rep3 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=deadline_miss_detection role=client sent=100 offered_missed_total=205 detect_latency_ms=-4905.447 RESULT: framework=fastdds scenario=deadline_miss_detection role=server recv=100 requested_missed_total=199 
A durability_volatile rep1 tickle | leftover_before=none | RESULT: framework=tickle scenario=durability_late_join role=client durable=0 received=0 backlog_delivery_ms=-1.000 RESULT: framework=tickle scenario=durability_late_join role=server durable=0 backlog_sent=20 acked=0 
A durability_volatile rep1 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=durability_late_join role=client durable=0 received=0 backlog_delivery_ms=-1.000 RESULT: framework=cyclonedds scenario=durability_late_join role=server durable=0 backlog_sent=20 acked=1 
A durability_volatile rep1 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=durability_late_join role=client durable=0 received=0 backlog_delivery_ms=-1.000 RESULT: framework=fastdds scenario=durability_late_join role=server durable=0 backlog_sent=20 acked=1 
A durability_volatile rep2 tickle | leftover_before=none | RESULT: framework=tickle scenario=durability_late_join role=client durable=0 received=0 backlog_delivery_ms=-1.000 RESULT: framework=tickle scenario=durability_late_join role=server durable=0 backlog_sent=20 acked=0 
A durability_volatile rep2 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=durability_late_join role=client durable=0 received=0 backlog_delivery_ms=-1.000 RESULT: framework=cyclonedds scenario=durability_late_join role=server durable=0 backlog_sent=20 acked=1 
A durability_volatile rep2 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=durability_late_join role=client durable=0 received=0 backlog_delivery_ms=-1.000 RESULT: framework=fastdds scenario=durability_late_join role=server durable=0 backlog_sent=20 acked=1 
A durability_volatile rep3 tickle | leftover_before=none | RESULT: framework=tickle scenario=durability_late_join role=client durable=0 received=0 backlog_delivery_ms=-1.000 RESULT: framework=tickle scenario=durability_late_join role=server durable=0 backlog_sent=20 acked=0 
A durability_volatile rep3 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=durability_late_join role=client durable=0 received=0 backlog_delivery_ms=-1.000 RESULT: framework=cyclonedds scenario=durability_late_join role=server durable=0 backlog_sent=20 acked=1 
A durability_volatile rep3 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=durability_late_join role=client durable=0 received=0 backlog_delivery_ms=-1.000 RESULT: framework=fastdds scenario=durability_late_join role=server durable=0 backlog_sent=20 acked=1 
A durability_durable rep1 tickle | leftover_before=none | RESULT: framework=tickle scenario=durability_late_join role=client durable=1 received=20 backlog_delivery_ms=16000.163 RESULT: framework=tickle scenario=durability_late_join role=server durable=1 backlog_sent=20 acked=1 
A durability_durable rep1 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=durability_late_join role=client durable=1 received=20 backlog_delivery_ms=15003.507 RESULT: framework=cyclonedds scenario=durability_late_join role=server durable=1 backlog_sent=20 acked=1 
A durability_durable rep1 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=durability_late_join role=client durable=1 received=20 backlog_delivery_ms=15042.061 RESULT: framework=fastdds scenario=durability_late_join role=server durable=1 backlog_sent=20 acked=1 
A durability_durable rep2 tickle | leftover_before=none | RESULT: framework=tickle scenario=durability_late_join role=client durable=1 received=20 backlog_delivery_ms=16000.218 RESULT: framework=tickle scenario=durability_late_join role=server durable=1 backlog_sent=20 acked=1 
A durability_durable rep2 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=durability_late_join role=client durable=1 received=20 backlog_delivery_ms=15003.585 RESULT: framework=cyclonedds scenario=durability_late_join role=server durable=1 backlog_sent=20 acked=1 
A durability_durable rep2 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=durability_late_join role=client durable=1 received=20 backlog_delivery_ms=15042.480 RESULT: framework=fastdds scenario=durability_late_join role=server durable=1 backlog_sent=20 acked=1 
A durability_durable rep3 tickle | leftover_before=none | RESULT: framework=tickle scenario=durability_late_join role=client durable=1 received=20 backlog_delivery_ms=16000.190 RESULT: framework=tickle scenario=durability_late_join role=server durable=1 backlog_sent=20 acked=1 
A durability_durable rep3 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=durability_late_join role=client durable=1 received=20 backlog_delivery_ms=15003.614 RESULT: framework=cyclonedds scenario=durability_late_join role=server durable=1 backlog_sent=20 acked=1 
A durability_durable rep3 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=durability_late_join role=client durable=1 received=20 backlog_delivery_ms=15042.082 RESULT: framework=fastdds scenario=durability_late_join role=server durable=1 backlog_sent=20 acked=1 
A history_within_depth rep1 tickle | leftover_before=none | RESULT: framework=tickle scenario=history_depth_burst_loss role=client sent=160 RESULT: framework=tickle scenario=history_depth_burst_loss role=server pause_s=0.0 recv=160 lost=0 loss_pct=0.0 
A history_within_depth rep1 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=history_depth_burst_loss role=client sent=160 write_dropped=0 RESULT: framework=cyclonedds scenario=history_depth_burst_loss role=server pause_s=0.0 recv=160 lost=0 loss_pct=0.0 
A history_within_depth rep1 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=history_depth_burst_loss role=client sent=160 write_dropped=0 RESULT: framework=fastdds scenario=history_depth_burst_loss role=server pause_s=0.0 recv=160 lost=0 loss_pct=0.0 
A history_within_depth rep2 tickle | leftover_before=none | RESULT: framework=tickle scenario=history_depth_burst_loss role=client sent=160 RESULT: framework=tickle scenario=history_depth_burst_loss role=server pause_s=0.0 recv=160 lost=0 loss_pct=0.0 
A history_within_depth rep2 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=history_depth_burst_loss role=client sent=160 write_dropped=0 RESULT: framework=cyclonedds scenario=history_depth_burst_loss role=server pause_s=0.0 recv=160 lost=0 loss_pct=0.0 
A history_within_depth rep2 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=history_depth_burst_loss role=client sent=160 write_dropped=0 RESULT: framework=fastdds scenario=history_depth_burst_loss role=server pause_s=0.0 recv=160 lost=0 loss_pct=0.0 
A history_within_depth rep3 tickle | leftover_before=none | RESULT: framework=tickle scenario=history_depth_burst_loss role=client sent=160 RESULT: framework=tickle scenario=history_depth_burst_loss role=server pause_s=0.0 recv=160 lost=0 loss_pct=0.0 
A history_within_depth rep3 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=history_depth_burst_loss role=client sent=160 write_dropped=0 RESULT: framework=cyclonedds scenario=history_depth_burst_loss role=server pause_s=0.0 recv=160 lost=0 loss_pct=0.0 
A history_within_depth rep3 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=history_depth_burst_loss role=client sent=160 write_dropped=0 RESULT: framework=fastdds scenario=history_depth_burst_loss role=server pause_s=0.0 recv=160 lost=0 loss_pct=0.0 
A history_beyond_depth rep1 tickle | leftover_before=none | RESULT: framework=tickle scenario=history_depth_burst_loss role=client sent=160 RESULT: framework=tickle scenario=history_depth_burst_loss role=server pause_s=3.0 recv=148 lost=12 loss_pct=7.5 
A history_beyond_depth rep1 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=history_depth_burst_loss role=client sent=160 write_dropped=0 RESULT: framework=cyclonedds scenario=history_depth_burst_loss role=server pause_s=3.0 recv=109 lost=22 loss_pct=16.8 
A history_beyond_depth rep1 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=history_depth_burst_loss role=client sent=160 write_dropped=0 RESULT: framework=fastdds scenario=history_depth_burst_loss role=server pause_s=3.0 recv=109 lost=22 loss_pct=16.8 
A history_beyond_depth rep2 tickle | leftover_before=none | RESULT: framework=tickle scenario=history_depth_burst_loss role=client sent=160 RESULT: framework=tickle scenario=history_depth_burst_loss role=server pause_s=3.0 recv=148 lost=12 loss_pct=7.5 
A history_beyond_depth rep2 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=history_depth_burst_loss role=client sent=160 write_dropped=0 RESULT: framework=cyclonedds scenario=history_depth_burst_loss role=server pause_s=3.0 recv=109 lost=22 loss_pct=16.8 
A history_beyond_depth rep2 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=history_depth_burst_loss role=client sent=160 write_dropped=0 RESULT: framework=fastdds scenario=history_depth_burst_loss role=server pause_s=3.0 recv=109 lost=22 loss_pct=16.8 
A history_beyond_depth rep3 tickle | leftover_before=none | RESULT: framework=tickle scenario=history_depth_burst_loss role=client sent=160 RESULT: framework=tickle scenario=history_depth_burst_loss role=server pause_s=3.0 recv=147 lost=13 loss_pct=8.1 
A history_beyond_depth rep3 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=history_depth_burst_loss role=client sent=160 write_dropped=0 RESULT: framework=cyclonedds scenario=history_depth_burst_loss role=server pause_s=3.0 recv=109 lost=22 loss_pct=16.8 
A history_beyond_depth rep3 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=history_depth_burst_loss role=client sent=160 write_dropped=0 RESULT: framework=fastdds scenario=history_depth_burst_loss role=server pause_s=3.0 recv=109 lost=22 loss_pct=16.8 
A lifespan_pause_1_0 rep1 tickle | leftover_before=none | RESULT: framework=tickle scenario=lifespan_expiry role=client sent=250 RESULT: framework=tickle scenario=lifespan_expiry role=server pause_s=1.00 recv=250 lost=0 loss_pct=0.0 
A lifespan_pause_1_0 rep1 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=lifespan_expiry role=client sent=250 RESULT: framework=cyclonedds scenario=lifespan_expiry role=server pause_s=1.000 recv=205 lost=45 loss_pct=18.0 
