=== RTT spacing dose-response, 2026-09-25T19:20:16+09:00 ===
harness=4baa3b76  oldcore=9a230a1b  new=4baa3b76  runs=20 per combination

--- building old ---
  core has until_next_event: 0
0  (expect 0 for old, >0 for new)

OLD s=1.0 run5 | sent=5 recv=5 rtt_avg_ms=0.235 rtt_max_ms=0.333 cpu_mhz_mean=1760.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=1.0 run6 | sent=5 recv=5 rtt_avg_ms=0.234 rtt_max_ms=0.317 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=1.0 run7 | sent=5 recv=5 rtt_avg_ms=0.243 rtt_max_ms=0.331 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=1.0 run8 | sent=5 recv=5 rtt_avg_ms=0.239 rtt_max_ms=0.320 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=1.0 run9 | sent=5 recv=5 rtt_avg_ms=0.251 rtt_max_ms=0.352 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=1.0 run10 | sent=5 recv=5 rtt_avg_ms=0.237 rtt_max_ms=0.316 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=1.0 run11 | sent=5 recv=5 rtt_avg_ms=0.245 rtt_max_ms=0.334 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=1.0 run12 | sent=5 recv=5 rtt_avg_ms=0.241 rtt_max_ms=0.302 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=1.0 run13 | sent=5 recv=5 rtt_avg_ms=0.236 rtt_max_ms=0.311 cpu_mhz_mean=1620.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=1.0 run14 | sent=5 recv=5 rtt_avg_ms=0.239 rtt_max_ms=0.309 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
OLD s=1.0 run15 | sent=5 recv=5 rtt_avg_ms=0.242 rtt_max_ms=0.339 cpu_mhz_mean=1600.0 cpu_mhz_min=1600.0 cpu_mhz_at_rtt_max=1600.0 retransmitted=0 gap_abandoned=0 
