=== rmw cross-host RTT, 2026-09-26T15:54:54+09:00, SHA 4342a5d05cf1a85d1f01d4ae308cb8c4dd94c4b8, 3 reps, msgs: bench array1k ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at 4342a5d05cf1a85d1f01d4ae308cb8c4dd94c4b8 on both rpis ---
built on tickle-testbed-rpi-0 at 4342a5d0
built on tickle-testbed-rpi-1 at 4342a5d0
rmw_cyclonedds_cpp bench best_effort rep3 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.386 rtt_avg_ms=0.425 rtt_max_ms=0.534
rmw_tickle bench reliable rep3 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.456 rtt_avg_ms=0.504 rtt_max_ms=0.665
rmw_fastrtps_cpp bench reliable rep3 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.438 rtt_avg_ms=0.488 rtt_max_ms=0.780
rmw_cyclonedds_cpp bench reliable rep3 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.408 rtt_avg_ms=0.432 rtt_max_ms=0.914
rmw_tickle array1k best_effort rep3 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.481 rtt_avg_ms=0.512 rtt_max_ms=0.728
rmw_fastrtps_cpp array1k best_effort rep3 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.443 rtt_avg_ms=0.504 rtt_max_ms=0.823
rmw_cyclonedds_cpp array1k best_effort rep3 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.423 rtt_avg_ms=0.448 rtt_max_ms=0.693
rmw_tickle array1k reliable rep3 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.460 rtt_avg_ms=0.509 rtt_max_ms=0.730
rmw_fastrtps_cpp array1k reliable rep3 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.450 rtt_avg_ms=0.523 rtt_max_ms=0.914
rmw_cyclonedds_cpp array1k reliable rep3 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.390 rtt_avg_ms=0.443 rtt_max_ms=1.128

=== done ===
