=== rmw cross-host RTT, 2026-09-26T22:50:52+09:00, SHA ec82de1fcbae4bad3c52946af8eaf1ab8c2b883c, 3 reps, msgs: bench array1k, spin arms: off, trace: 0, waits: poll block, poll sleeps: default, sysstamp arms: off, bpf arms: off ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at ec82de1fcbae4bad3c52946af8eaf1ab8c2b883c on both rpis ---
built on tickle-testbed-rpi-0 at ec82de1f
built on tickle-testbed-rpi-1 at ec82de1f
rmw_cyclonedds_cpp bench reliable rep1 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.247 rtt_avg_ms=0.268 rtt_max_ms=0.829 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14720  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=46998755 pong_maxrss_kb=14544
rmw_tickle array1k best_effort rep1 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.460 rtt_avg_ms=0.507 rtt_max_ms=0.846 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=6.3 sleep_us=155.7 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34208839 pong_maxrss_kb=11764
rmw_fastrtps_cpp array1k best_effort rep1 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.459 rtt_avg_ms=0.508 rtt_max_ms=1.007 LOOP: poll_sleep_us=100 iterations_per_rtt=2.04 spin_some_us=71.7 sleep_us=158.4 ping_utime_s=0.04 ping_stime_s=0.02 ping_maxrss_kb=23988  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=57763592 pong_maxrss_kb=23728
rmw_cyclonedds_cpp array1k best_effort rep1 wait=poll | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.414 rtt_avg_ms=0.444 rtt_max_ms=0.699 LOOP: poll_sleep_us=100 iterations_per_rtt=2.01 spin_some_us=53.4 sleep_us=155.0 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=42655935 pong_maxrss_kb=14532
rmw_tickle array1k best_effort rep1 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.258 rtt_avg_ms=0.275 rtt_max_ms=0.645 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.01 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=37172116 pong_maxrss_kb=11764
rmw_fastrtps_cpp array1k best_effort rep1 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.313 rtt_avg_ms=0.341 rtt_max_ms=0.675 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23992  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=55711952 pong_maxrss_kb=23728
rmw_cyclonedds_cpp array1k best_effort rep1 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.263 rtt_avg_ms=0.287 rtt_max_ms=0.407 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=14592  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=41963536 pong_maxrss_kb=14544
rmw_tickle array1k reliable rep1 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.466 rtt_avg_ms=0.511 rtt_max_ms=0.877 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=6.4 sleep_us=156.8 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=37519106 pong_maxrss_kb=11788
rmw_fastrtps_cpp array1k reliable rep1 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.450 rtt_avg_ms=0.509 rtt_max_ms=0.795 LOOP: poll_sleep_us=100 iterations_per_rtt=2.05 spin_some_us=68.7 sleep_us=157.8 ping_utime_s=0.03 ping_stime_s=0.04 ping_maxrss_kb=24048  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=60150557 pong_maxrss_kb=23728
rmw_cyclonedds_cpp array1k reliable rep1 wait=poll | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.385 rtt_avg_ms=0.438 rtt_max_ms=1.033 LOOP: poll_sleep_us=100 iterations_per_rtt=2.02 spin_some_us=45.4 sleep_us=156.3 ping_utime_s=0.02 ping_stime_s=0.03 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=47732331 pong_maxrss_kb=14560
rmw_tickle array1k reliable rep1 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.258 rtt_avg_ms=0.270 rtt_max_ms=0.604 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35658490 pong_maxrss_kb=11784
rmw_fastrtps_cpp array1k reliable rep1 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.335 rtt_avg_ms=0.356 rtt_max_ms=0.657 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23972  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=60976512 pong_maxrss_kb=23732
rmw_cyclonedds_cpp array1k reliable rep1 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.260 rtt_avg_ms=0.281 rtt_max_ms=0.857 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=49679466 pong_maxrss_kb=14556
