=== rmw cross-host RTT, 2026-09-26T23:55:35+09:00, SHA 763125c960708c09fe377eee69a4dd11434b5f5e, 2 reps, msgs: bench, spin arms: off, trace: 0, waits: block, poll sleeps: default, sysstamp arms: off, bpf arms: off on, executor-poll arms: -, rmws: rmw_tickle rmw_fastrtps_cpp rmw_cyclonedds_cpp ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at 763125c960708c09fe377eee69a4dd11434b5f5e on both rpis ---
built on tickle-testbed-rpi-0 at 763125c9
built on tickle-testbed-rpi-1 at 763125c9
--- bpftrace arm: pong_rx_split.bt md5 a9262ac0f4aa, eth0 IRQ 108 ---
rmw_cyclonedds_cpp bench reliable rep1 wait=block bpf=on | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.262 rtt_avg_ms=0.295 rtt_max_ms=0.892 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14840  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=54385517 pong_maxrss_kb=14544
rmw_tickle bench best_effort rep2 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.239 rtt_avg_ms=0.250 rtt_max_ms=0.601 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=36094592 pong_maxrss_kb=11776
rmw_fastrtps_cpp bench best_effort rep2 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.286 rtt_avg_ms=0.313 rtt_max_ms=0.642 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23888  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=56770702 pong_maxrss_kb=23628
rmw_cyclonedds_cpp bench best_effort rep2 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.259 rtt_avg_ms=0.272 rtt_max_ms=0.377 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14592  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=43015836 pong_maxrss_kb=14532
rmw_tickle bench best_effort rep2 wait=block bpf=on | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.258 rtt_avg_ms=0.278 rtt_max_ms=0.612 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=39539511 pong_maxrss_kb=11788
rmw_fastrtps_cpp bench best_effort rep2 wait=block bpf=on | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.318 rtt_avg_ms=0.360 rtt_max_ms=0.678 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.02 ping_maxrss_kb=23760  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=61157446 pong_maxrss_kb=23628
rmw_cyclonedds_cpp bench best_effort rep2 wait=block bpf=on | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.274 rtt_avg_ms=0.298 rtt_max_ms=0.412 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=14464  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=47090955 pong_maxrss_kb=14540
rmw_tickle bench reliable rep2 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.236 rtt_avg_ms=0.250 rtt_max_ms=0.560 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=33886956 pong_maxrss_kb=11824
rmw_fastrtps_cpp bench reliable rep2 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.316 rtt_avg_ms=0.334 rtt_max_ms=0.622 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23796  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=61542026 pong_maxrss_kb=23632
rmw_cyclonedds_cpp bench reliable rep2 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.234 rtt_avg_ms=0.268 rtt_max_ms=0.857 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14720  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=48704034 pong_maxrss_kb=14552
rmw_tickle bench reliable rep2 wait=block bpf=on | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.267 rtt_avg_ms=0.282 rtt_max_ms=0.607 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=39363964 pong_maxrss_kb=11808
rmw_fastrtps_cpp bench reliable rep2 wait=block bpf=on | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.334 rtt_avg_ms=0.370 rtt_max_ms=0.681 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23856  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.06 pong_cpu_ns=66298895 pong_maxrss_kb=23632
rmw_cyclonedds_cpp bench reliable rep2 wait=block bpf=on | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.272 rtt_avg_ms=0.296 rtt_max_ms=0.922 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14720  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=54135120 pong_maxrss_kb=14532

=== done ===
