Attaching 17 probes...
# pong_rx_split v2 tgid 2986739 irq 108
S irq2napi=6352 enq=19519 rd=20852 wk_rx=0 sw_rx=28981 wait=0 rx=32463 rxtid=2986750 wk_ex=41852 sw_ex=49018 send=69407
S irq2napi=6204 enq=15592 rd=16574 wk_rx=0 sw_rx=24148 wait=0 rx=28240 rxtid=2986750 wk_ex=0 sw_ex=44925 send=64981
S irq2napi=6314 enq=18000 rd=19111 wk_rx=0 sw_rx=27093 wait=0 rx=29945 rxtid=2986750 wk_ex=40889 sw_ex=47389 send=69889
S irq2napi=6240 enq=17592 rd=18629 wk_rx=0 sw_rx=26500 wait=0 rx=29426 rxtid=2986750 wk_ex=0 sw_ex=45463 send=66259
S irq2napi=6445 enq=16370 rd=17519 wk_rx=0 sw_rx=25463 wait=0 rx=28611 rxtid=2986750 wk_ex=37963 sw_ex=43907 send=65240
S irq2napi=6389 enq=17759 rd=18814 wk_rx=0 sw_rx=26981 wait=0 rx=29740 rxtid=2986750 wk_ex=0 sw_ex=46148 send=67740
S irq2napi=6092 enq=18500 rd=19500 wk_rx=0 sw_rx=27074 wait=0 rx=30148 rxtid=2986750 wk_ex=41018 sw_ex=0 send=68407
S irq2napi=6259 enq=19111 rd=25704 wk_rx=0 sw_rx=34222 wait=0 rx=37648 rxtid=2986750 wk_ex=0 sw_ex=54907 send=83648
S irq2napi=6500 enq=20333 rd=21462 wk_rx=0 sw_rx=0 wait=0 rx=33425 rxtid=2986750 wk_ex=44555 sw_ex=0 send=83721
S irq2napi=6741 enq=17722 rd=18926 wk_rx=0 sw_rx=27167 wait=0 rx=30148 rxtid=2986750 wk_ex=0 sw_ex=0 send=84833
S irq2napi=6463 enq=19630 rd=20852 wk_rx=0 sw_rx=28963 wait=0 rx=32334 rxtid=2986750 wk_ex=42815 sw_ex=0 send=73222
S irq2napi=6167 enq=15463 rd=16518 wk_rx=0 sw_rx=24111 wait=0 rx=27518 rxtid=2986750 wk_ex=0 sw_ex=43963 send=65018
S irq2napi=6871 enq=19797 rd=20815 wk_rx=0 sw_rx=28630 wait=0 rx=31982 rxtid=2986750 wk_ex=42630 sw_ex=49407 send=72463
S irq2napi=6759 enq=18722 rd=19908 wk_rx=0 sw_rx=27667 wait=0 rx=31482 rxtid=2986750 wk_ex=42426 sw_ex=0 send=74833
S irq2napi=6889 enq=18592 rd=19926 wk_rx=0 sw_rx=27852 wait=0 rx=32055 rxtid=2986750 wk_ex=0 sw_ex=0 send=78037
S irq2napi=6944 enq=21185 rd=22296 wk_rx=0 sw_rx=0 wait=0 rx=33703 rxtid=2986750 wk_ex=44462 sw_ex=0 send=79536
S irq2napi=6333 enq=18315 rd=19463 wk_rx=0 sw_rx=0 wait=0 rx=30666 rxtid=2986750 wk_ex=0 sw_ex=0 send=76203
S irq2napi=6222 enq=18889 rd=20037 wk_rx=0 sw_rx=0 wait=0 rx=31296 rxtid=2986750 wk_ex=41481 sw_ex=0 send=86722
S irq2napi=6574 enq=18537 rd=19518 wk_rx=0 sw_rx=27981 wait=0 rx=30888 rxtid=2986750 wk_ex=0 sw_ex=49703 send=73518
S irq2napi=6296 enq=18740 rd=19870 wk_rx=0 sw_rx=28148 wait=0 rx=31722 rxtid=2986750 wk_ex=41500 sw_ex=0 send=70814
S irq2napi=6278 enq=15685 rd=16759 wk_rx=0 sw_rx=24926 wait=0 rx=29963 rxtid=2986750 wk_ex=0 sw_ex=46796 send=68315
S irq2napi=6000 enq=18778 rd=19778 wk_rx=0 sw_rx=27482 wait=0 rx=30593 rxtid=2986750 wk_ex=40870 sw_ex=0 send=69629
S irq2napi=6352 enq=18500 rd=19537 wk_rx=0 sw_rx=27204 wait=0 rx=30056 rxtid=2986750 wk_ex=40611 sw_ex=48056 send=68981
S irq2napi=5186 enq=13723 rd=14445 wk_rx=0 sw_rx=0 wait=0 rx=22130 rxtid=2986750 wk_ex=0 sw_ex=0 send=62111
S irq2napi=6574 enq=19185 rd=20259 wk_rx=0 sw_rx=0 wait=0 rx=31203 rxtid=2986750 wk_ex=42851 sw_ex=0 send=76203
S irq2napi=6704 enq=18222 rd=19334 wk_rx=0 sw_rx=27815 wait=0 rx=31389 rxtid=2986750 wk_ex=0 sw_ex=47704 send=70852
