Attaching 17 probes...
# pong_rx_split v2 tgid 2996289 irq 108
S irq2napi=5833 enq=11463 rd=12389 wk_rx=100722 sw_rx=107296 wait=0 rx=26870 rxtid=2996298 wk_ex=0 sw_ex=0 send=1421419
S irq2napi=5408 enq=9981 rd=10759 wk_rx=0 sw_rx=0 wait=0 rx=21425 rxtid=2996300 wk_ex=33370 sw_ex=0 send=81592
S irq2napi=5926 enq=14166 rd=15092 wk_rx=1020791 sw_rx=1027328 wait=0 rx=27296 rxtid=2996300 wk_ex=1041013 sw_ex=1047680 send=1077754
S irq2napi=5574 enq=10796 rd=11648 wk_rx=0 sw_rx=0 wait=0 rx=21907 rxtid=2996300 wk_ex=0 sw_ex=0 send=62277
S irq2napi=5648 enq=11222 rd=12185 wk_rx=0 sw_rx=0 wait=0 rx=23537 rxtid=2996300 wk_ex=33537 sw_ex=41629 send=63611
S irq2napi=5629 enq=10185 rd=11018 wk_rx=0 sw_rx=0 wait=0 rx=21870 rxtid=2996300 wk_ex=0 sw_ex=0 send=65925
S irq2napi=5704 enq=10240 rd=11055 wk_rx=0 sw_rx=0 wait=0 rx=22537 rxtid=2996300 wk_ex=33481 sw_ex=41574 send=64574
S irq2napi=5704 enq=11296 rd=12148 wk_rx=0 sw_rx=0 wait=0 rx=22852 rxtid=2996300 wk_ex=32315 sw_ex=0 send=59703
S irq2napi=5611 enq=21685 rd=22537 wk_rx=0 sw_rx=0 wait=0 rx=32740 rxtid=2996300 wk_ex=42129 sw_ex=49203 send=69444
S irq2napi=5889 enq=11018 rd=11944 wk_rx=0 sw_rx=0 wait=0 rx=22667 rxtid=2996300 wk_ex=32481 sw_ex=0 send=63240
S irq2napi=5889 enq=11092 rd=11926 wk_rx=0 sw_rx=0 wait=0 rx=22907 rxtid=2996300 wk_ex=33888 sw_ex=0 send=67129
S irq2napi=5611 enq=10537 rd=11352 wk_rx=0 sw_rx=0 wait=0 rx=25611 rxtid=2996300 wk_ex=39852 sw_ex=46241 send=74648
S irq2napi=6056 enq=10593 rd=11445 wk_rx=0 sw_rx=0 wait=0 rx=23037 rxtid=2996300 wk_ex=32871 sw_ex=0 send=62074
S irq2napi=5722 enq=10555 rd=11370 wk_rx=0 sw_rx=0 wait=0 rx=23259 rxtid=2996300 wk_ex=0 sw_ex=0 send=62759
S irq2napi=5593 enq=10833 rd=11722 wk_rx=0 sw_rx=0 wait=0 rx=23444 rxtid=2996300 wk_ex=38870 sw_ex=46444 send=68592
S irq2napi=6000 enq=11500 rd=12407 wk_rx=0 sw_rx=0 wait=0 rx=24093 rxtid=2996300 wk_ex=36296 sw_ex=0 send=71629
S irq2napi=5908 enq=11722 rd=12611 wk_rx=0 sw_rx=0 wait=0 rx=24611 rxtid=2996300 wk_ex=37111 sw_ex=0 send=71204
S irq2napi=5834 enq=10444 rd=11222 wk_rx=0 sw_rx=0 wait=0 rx=22222 rxtid=2996300 wk_ex=33185 sw_ex=0 send=63647
S irq2napi=5852 enq=11833 rd=12722 wk_rx=0 sw_rx=0 wait=0 rx=23944 rxtid=2996300 wk_ex=35815 sw_ex=42666 send=68426
S irq2napi=5667 enq=11240 rd=12166 wk_rx=0 sw_rx=0 wait=0 rx=22962 rxtid=2996300 wk_ex=33185 sw_ex=0 send=63740
S irq2napi=6537 enq=11740 rd=12666 wk_rx=0 sw_rx=0 wait=0 rx=24111 rxtid=2996300 wk_ex=35944 sw_ex=0 send=71240
S irq2napi=5926 enq=11056 rd=11907 wk_rx=0 sw_rx=0 wait=0 rx=24259 rxtid=2996300 wk_ex=38685 sw_ex=0 send=87463
S irq2napi=6019 enq=15315 rd=16259 wk_rx=0 sw_rx=0 wait=0 rx=28963 rxtid=2996300 wk_ex=40778 sw_ex=47944 send=76889
S irq2napi=5926 enq=11685 rd=12556 wk_rx=0 sw_rx=0 wait=0 rx=24704 rxtid=2996300 wk_ex=41019 sw_ex=0 send=76667
S irq2napi=5648 enq=11000 rd=11926 wk_rx=0 sw_rx=0 wait=0 rx=24593 rxtid=2996300 wk_ex=0 sw_ex=0 send=65000
S irq2napi=5852 enq=11426 rd=12426 wk_rx=0 sw_rx=0 wait=0 rx=23315 rxtid=2996300 wk_ex=34315 sw_ex=40555 send=71166
S irq2napi=6204 enq=12000 rd=12889 wk_rx=0 sw_rx=0 wait=0 rx=23463 rxtid=2996300 wk_ex=34278 sw_ex=0 send=64796
S irq2napi=5722 enq=10666 rd=11500 wk_rx=0 sw_rx=0 wait=0 rx=25777 rxtid=2996300 wk_ex=35666 sw_ex=43055 send=65499
S irq2napi=5759 enq=12148 rd=13056 wk_rx=0 sw_rx=0 wait=0 rx=23963 rxtid=2996300 wk_ex=33574 sw_ex=0 send=61815
S irq2napi=5741 enq=10925 rd=11814 wk_rx=0 sw_rx=0 wait=0 rx=25314 rxtid=2996300 wk_ex=34925 sw_ex=41388 send=64703
S irq2napi=6389 enq=14760 rd=15889 wk_rx=0 sw_rx=0 wait=0 rx=28648 rxtid=2996300 wk_ex=44167 sw_ex=0 send=80019
S irq2napi=5851 enq=10555 rd=11352 wk_rx=0 sw_rx=0 wait=0 rx=24315 rxtid=2996300 wk_ex=39815 sw_ex=46481 send=72351
S irq2napi=5593 enq=11333 rd=12240 wk_rx=0 sw_rx=0 wait=0 rx=23944 rxtid=2996300 wk_ex=35333 sw_ex=0 send=66870
S irq2napi=5889 enq=10352 rd=11148 wk_rx=0 sw_rx=0 wait=0 rx=22352 rxtid=2996300 wk_ex=32592 sw_ex=0 send=61777
S irq2napi=5592 enq=11722 rd=12537 wk_rx=0 sw_rx=0 wait=0 rx=23648 rxtid=2996300 wk_ex=37333 sw_ex=43796 send=66055
S irq2napi=5815 enq=13815 rd=14741 wk_rx=0 sw_rx=0 wait=0 rx=25963 rxtid=2996300 wk_ex=36778 sw_ex=0 send=81055
S irq2napi=6056 enq=11463 rd=12352 wk_rx=0 sw_rx=0 wait=0 rx=23852 rxtid=2996300 wk_ex=36074 sw_ex=0 send=68333
S irq2napi=5518 enq=14130 rd=14982 wk_rx=0 sw_rx=0 wait=0 rx=25926 rxtid=2996300 wk_ex=36111 sw_ex=43389 send=65907
