=== rmw cross-host RTT, 2026-09-26T17:07:46+09:00, SHA 9e9893073c3fc585cf2e3944c7ec86122420d51a, 3 reps, msgs: bench, spin arms: off, trace: 0 ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at 9e9893073c3fc585cf2e3944c7ec86122420d51a on both rpis ---
built on tickle-testbed-rpi-0 at 9e989307
built on tickle-testbed-rpi-1 at 9e989307
rmw_tickle@default bench reliable rep2 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.469 rtt_avg_ms=0.506 rtt_max_ms=0.845 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11520  pong_cpu_s=0.02 pong_cpu_ns=34451411 pong_maxrss_kb=11792
rmw_tickle@trace bench reliable rep2 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.468 rtt_avg_ms=0.512 rtt_max_ms=0.748 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_cpu_s=0.03 pong_cpu_ns=34548984 pong_maxrss_kb=11812
rmw_tickle@trace_rxb8 bench reliable rep2 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.465 rtt_avg_ms=0.508 rtt_max_ms=0.734 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11776  pong_cpu_s=0.03 pong_cpu_ns=34549404 pong_maxrss_kb=12204
rmw_fastrtps_cpp bench reliable rep2 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.443 rtt_avg_ms=0.486 rtt_max_ms=0.811 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23916  pong_cpu_s=0.05 pong_cpu_ns=60575625 pong_maxrss_kb=23632
rmw_cyclonedds_cpp bench reliable rep2 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.379 rtt_avg_ms=0.427 rtt_max_ms=0.970 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14848  pong_cpu_s=0.03 pong_cpu_ns=46812043 pong_maxrss_kb=14544
rmw_tickle@default bench best_effort rep3 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.455 rtt_avg_ms=0.504 rtt_max_ms=0.714 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_cpu_s=0.03 pong_cpu_ns=34089029 pong_maxrss_kb=11760
rmw_tickle@trace bench best_effort rep3 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.465 rtt_avg_ms=0.513 rtt_max_ms=0.753 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_cpu_s=0.02 pong_cpu_ns=35072699 pong_maxrss_kb=11780
rmw_tickle@trace_rxb8 bench best_effort rep3 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.462 rtt_avg_ms=0.504 rtt_max_ms=0.742 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11648  pong_cpu_s=0.02 pong_cpu_ns=33767207 pong_maxrss_kb=12176
rmw_fastrtps_cpp bench best_effort rep3 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.427 rtt_avg_ms=0.484 rtt_max_ms=0.768 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23896  pong_cpu_s=0.05 pong_cpu_ns=57383359 pong_maxrss_kb=23620
rmw_cyclonedds_cpp bench best_effort rep3 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort sent=100 recv=100 loss_pct=0 rtt_min_ms=0.386 rtt_avg_ms=0.428 rtt_max_ms=0.617 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14848  pong_cpu_s=0.03 pong_cpu_ns=42863009 pong_maxrss_kb=14528
rmw_tickle@default bench reliable rep3 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.470 rtt_avg_ms=0.515 rtt_max_ms=0.753 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_cpu_s=0.03 pong_cpu_ns=34252848 pong_maxrss_kb=11792
rmw_tickle@trace bench reliable rep3 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.477 rtt_avg_ms=0.514 rtt_max_ms=0.748 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_cpu_s=0.03 pong_cpu_ns=34876536 pong_maxrss_kb=11820
rmw_tickle@trace_rxb8 bench reliable rep3 | ok | framework=rmw_tickle scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.454 rtt_avg_ms=0.503 rtt_max_ms=0.766 ping_utime_s=0.01 ping_stime_s=0.01 ping_maxrss_kb=11776  pong_cpu_s=0.02 pong_cpu_ns=36156386 pong_maxrss_kb=12204
rmw_fastrtps_cpp bench reliable rep3 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.415 rtt_avg_ms=0.472 rtt_max_ms=0.784 ping_utime_s=0.02 ping_stime_s=0.04 ping_maxrss_kb=24016  pong_cpu_s=0.05 pong_cpu_ns=59239498 pong_maxrss_kb=23636
rmw_cyclonedds_cpp bench reliable rep3 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable sent=100 recv=100 loss_pct=0 rtt_min_ms=0.385 rtt_avg_ms=0.432 rtt_max_ms=1.029 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14976  pong_cpu_s=0.03 pong_cpu_ns=47397652 pong_maxrss_kb=14544

=== done ===
